,Address,Price,Details,Links
133,"Cityfront Place | 400 N McClurg Ct, Chicago, IL","$2,000+ Studio","$2,124+ 1 bd$3,486+ 2 bds",https://www.zillow.com/apartments/chicago-il/cityfront-place/5XhfWf/
134,"7317 S Chappel | 7317 S Chappel Ave, Chicago, IL",$945+ 1 bd,,https://www.zillow.com/apartments/chicago-il/7317-s-chappel/5Xh4TD/
135,"6400 S Rockwell St, 6400 S Rockwell St, Chicago, IL 60629","$1,065+/mo",2 bds 1 ba 915 sqft,https://www.zillow.com/apartments/chicago-il/6400-s-rockwell-st/5XhRGC/
136,"6923-25 S Indiana Ave | 6923 S Indiana Ave, Chicago, IL","$1,020+ 2 bds",,https://www.zillow.com/apartments/chicago-il/6923.dash.25-s-indiana-ave/5XkkqV/
137,"7102 S Luella, 7102 S Luella Ave APT 204, Chicago, IL 60649",$725/mo,Studio 1 ba 400 sqft,https://www.zillow.com/apartments/chicago-il/7102-s-luella/5XjCwQ/
138,"2143 N Damen, 2143-45 N Damen Ave #201, Chicago, IL 60647","$3,400/mo","3 bds 2 ba 1,600 sqft",https://www.zillow.com/apartments/chicago-il/2143-n-damen/BrQZVd/
139,"1351 W. Touhy Ave., 1351 W Touhy Ave #1355-3N, Chicago, IL 60626","$1,500/mo",2 bds 1 ba 700 sqft,https://www.zillow.com/apartments/chicago-il/1351-w.-touhy-ave./5XcKvZ/
140,"8251 S Ellis Ave | 8251 S Ellis Ave, Chicago, IL",$815+ 1 bd,,https://www.zillow.com/apartments/chicago-il/8251-s-ellis-ave/CRzQ/
141,"8001-09 S Ellis Ave, 8001-09 S Ellis Ave #8005-2B, Chicago, IL 60619",$680/mo,Studio 1 ba 450 sqft,https://www.zillow.com/apartments/chicago-il/8001.dash.09-s-ellis-ave/9h8BwF/
142,"4815 W Monroe St, 4815 W Monroe St #4823-3W, Chicago, IL 60644","$1,070/mo",1 bd 1 ba 700 sqft,https://www.zillow.com/apartments/chicago-il/4815-w-monroe-st/9S54Q4/
143,"1832-1842 North Humboldt Blvd | 1842 N Humboldt Blvd, Chicago, IL","$1,495+ 1 bd",,https://www.zillow.com/apartments/chicago-il/1832.dash.1842-north-humboldt-blvd/CJTm/
144,"7240 S Yates Blvd, 7240 S Yates Blvd #7242-1, Chicago, IL 60649","$1,320/mo","3 bds 1 ba 1,050 sqft",https://www.zillow.com/apartments/chicago-il/7240-s-yates-blvd/5XfcsR/
145,"2710 E 83rd Street | 2710 E 83rd St, Chicago, IL",$860+ 1 bd,,https://www.zillow.com/apartments/chicago-il/2710-e-83rd-street/9hJxZ5/
146,"7944 S Paulina | 7944 S Paulina St, Chicago, IL",$805+ 1 bd,,https://www.zillow.com/apartments/chicago-il/7944-s-paulina/5XgTFP/
147,"7956 S Aberdeen St, 7956 S Aberdeen St #1110-2, Chicago, IL 60620","$1,065/mo",2 bds 1 ba 851 sqft,https://www.zillow.com/apartments/chicago-il/7956-s-aberdeen-st/BVZ9/
148,"5415 S. Woodlawn Avenue | 5415 S Woodlawn Ave, Chicago, IL","$1,495+ 1 bd","$1,650+ 2 bds",https://www.zillow.com/apartments/chicago-il/5415-s.-woodlawn-avenue/5XrRnP/
149,"109 N Laramie Ave | 109 N Laramie Ave, Chicago, IL","$1,115+ 2 bds",,https://www.zillow.com/apartments/chicago-il/109-n-laramie-ave/9S52bB/
150,"7917-27 S Drexel Ave, 7917 S Drexel Ave #7919-1C, Chicago, IL 60619",$795/mo,1 bd 1 ba 575 sqft,https://www.zillow.com/apartments/chicago-il/7917.dash.27-s-drexel-ave/5XjXWC/
151,"7801 S Saginaw, 7801 S Saginaw Ave APT 3, Chicago, IL 60649",$975/mo,2 bds 1 ba 650 sqft,https://www.zillow.com/apartments/chicago-il/7801-s-saginaw/5XgF9H/
152,"The Chatelaine, 215 E Chestnut St #2152104, Chicago, IL 60611","$2,230/mo",1 bd 1 ba 725 sqft,https://www.zillow.com/apartments/chicago-il/the-chatelaine/5XfWLf/
153,"10719 S Calumet Ave, 10719 S Calumet Ave #3S, Chicago, IL 60628","$1,195/mo",2 bds 1 ba 922 sqft,https://www.zillow.com/apartments/chicago-il/10719-s-calumet-ave/9S2hyr/
154,"7263 S Coles, 7263 S Coles Ave #2610-2, Chicago, IL 60649","$1,095/mo",2 bds 1 ba 875 sqft,https://www.zillow.com/apartments/chicago-il/7263-s-coles/DHHF/
155,"The Morse Lakewood | 6929 N Lakewood Ave, Chicago, IL","$1,900+ 2 bds",,https://www.zillow.com/apartments/chicago-il/the-morse-lakewood/CTHq/
156,"6715 S Dorchester, 6715 S Dorchester Ave #1400-3, Chicago, IL 60637","$1,190/mo",2 bds 1 ba 804 sqft,https://www.zillow.com/apartments/chicago-il/6715-s-dorchester/9S42xz/
157,"2235 E 71st St | 2235 E 71st St, Chicago, IL",$665+ Studio,,https://www.zillow.com/apartments/chicago-il/2235-e-71st-st/9S5Wft/
158,"511 West Melrose, 511 W Melrose St, Chicago, IL 60657","$1,425+/mo",1 bd 1 ba-- sqft,https://www.zillow.com/apartments/chicago-il/511-west-melrose/BBMQ/
159,"7701 S Stewart Ave | 7701 S Stewart Ave, Chicago, IL",$820+ 1 bd,,https://www.zillow.com/apartments/chicago-il/7701-s-stewart-ave/9RzhK9/
160,"5800 W Iowa St, 5800 W Iowa St #9081, Chicago, IL 60651","$1,050/mo",1 bd 1 ba 550 sqft,https://www.zillow.com/apartments/chicago-il/5800-w-iowa-st/5XjGNt/
161,"8001 S Marshfield Ave, 8001 S Marshfield Ave #1621-1, Chicago, IL 60620",$875/mo,1 bd 1 ba 600 sqft,https://www.zillow.com/apartments/chicago-il/8001-s-marshfield-ave/5Xdks2/
162,"6751 S Jeffery Blvd | 6751 S Jeffery Blvd, Chicago, IL",$835+ Studio,$925+ 1 bd,https://www.zillow.com/apartments/chicago-il/6751-s-jeffery-blvd/5Xct8b/
163,"418-24 S Laramie Ave | 418 S Laramie Ave, Chicago, IL","$1,005+ 1 bd","$1,080+ 2 bds",https://www.zillow.com/apartments/chicago-il/418.dash.24-s-laramie-ave/Dhg2/
164,"Broadway / Belmont, 604 Belmont Broadway #3200-6-320, Chicago, IL 60657","$1,495/mo",1 bd 1 ba 550 sqft,https://www.zillow.com/b/604-belmont-broadway-chicago-il-C4NCFR/
165,"8152 S Evans, 8152 S Evans Ave #714-1A, Chicago, IL 60619",$755/mo,Studio 1 ba 450 sqft,https://www.zillow.com/apartments/chicago-il/8152-s-evans/5Xt8zV/
